województwo;powiat;gmina;Typ gminy;Kod teryt gminy;RSPO;rodzaj placówki;czy publiczna;Nazwa szkoły;Miejscowość;Ulica nr;język polski liczba zdających;język polski wynik średni (%);język polski odchylenie standardowe (%);język polski mediana (%);język polski modalna (%);matematyka liczba zdających;matematyka wynik średni (%);matematyka odchylenie standardowe (%);matematyka mediana (%);matematyka modalna (%);język angielski liczba zdających;język angielski wynik średni (%);język angielski odchylenie standardowe (%);język angielski mediana (%);język angielski modalna (%);język francuski liczba zdających;język francuski wynik średni (%);język francuski odchylenie standardowe (%);język francuski mediana (%);język francuski modalna (%);język hiszpański liczba zdających;język hiszpański wynik średni (%);język hiszpański odchylenie standardowe (%);język hiszpański mediana (%);język hiszpański modalna (%);język niemiecki liczba zdających;język niemiecki wynik średni (%);język niemiecki odchylenie standardowe (%);język niemiecki mediana (%);język niemiecki modalna (%);język rosyjski liczba zdających;język rosyjski wynik średni (%);język rosyjski odchylenie standardowe (%);język rosyjski mediana (%);język rosyjski modalna (%);język włoski liczba zdających;język włoski wynik średni (%);język włoski odchylenie standardowe (%);język włoski mediana (%);język włoski modalna (%)
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;267031;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 158;Łódź;ul. Janosika 136;24;58;13;59;58;24;57;21;58;64;22;76;25;86;93;;;;;;;;;;;2;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;41991;dla młodzieży;Tak;SZKOŁA PODSTAWOWA SPECJALNA NR 212;Łódź;ul. Częstochowska 36;14;26;12;28;13;14;20;12;16;16;14;21;7;18;16;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;272444;dla dorosłych;Nie;"SZKOŁA PODSTAWOWA DLA DOROSŁYCH ""DR PIONTEK""";Łódź;ul. Piotra Czajkowskiego 14;4;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;28084;dla młodzieży;Tak;SZKOŁA PODSTAWOWA SPECJALNA NR 145;Łódź;ul. Krokusowa 15/17;16;16;16;11;9;16;15;8;16;16;16;18;4;18;15;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Piotrków Trybunalski;Piotrków Trybunalski;Gmina miejska;1062011;70258;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 13 IM. TRYBUNAŁU KORONNEGO W PIOTRKOWIE TRYBUNALSKIM;Piotrków Trybunalski;ul. Romana Dmowskiego 11;88;65;17;67;82;88;61;28;68;76;88;71;25;75;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Piotrków Trybunalski;Piotrków Trybunalski;Gmina miejska;1062011;66259;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 8 IM. EMILII PLATER W PIOTRKOWIE TRYBUNALSKIM;Piotrków Trybunalski;ul. Henryka Sienkiewicza 8;45;68;19;71;82;45;54;30;48;28;45;66;33;80;98;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Piotrków Trybunalski;Piotrków Trybunalski;Gmina miejska;1062011;66236;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 16 IM. POLSKICH OLIMPIJCZYKÓW W PIOTRKOWIE TRYBUNALSKIM;Piotrków Trybunalski;ul. Krakowskie Przedmieście 11;108;63;16;62;62;108;69;26;76;100;96;79;25;91;100;;;;;;;;;;;12;50;19;45;42;;;;;;;;;;
Łódzkie;Piotrków Trybunalski;Piotrków Trybunalski;Gmina miejska;1062011;64059;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 3 IM. SZARYCH SZEREGÓW W PIOTRKOWIE TRYBUNALSKIM;Piotrków Trybunalski;ul. Wysoka 28/38;101;63;19;69;76;101;62;29;72;76;104;70;31;85;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Piotrków Trybunalski;Piotrków Trybunalski;Gmina miejska;1062011;60665;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 5 Z ODDZIAŁAMI INTEGRACYJNYMI IM. ANDRZEJA FRYCZA MODRZEWSKIEGO W PIOTRKOWIE TRYBUNALSKIM;Piotrków Trybunalski;ul. Jerozolimska 73;69;65;15;69;69;69;57;28;64;68;69;64;32;76;95;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Piotrków Trybunalski;Piotrków Trybunalski;Gmina miejska;1062011;64959;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 11 IM. HENRYKA SIENKIEWICZA W PIOTRKOWIE TRYBUNALSKIM;Piotrków Trybunalski;ul. Kazimierza Szmidta 3;66;67;18;67;67;66;55;29;54;92;66;68;27;75;95;;;;;;;;;;;;;;;;;;;;;;;;;
