ZO,Nazwa,WK,GK,Paragraf,PT,NZ,Regon,Typ,GT,NP,P4,PL,Grupa,NO,WW,Dzial,DW,Rozdzial,PK,NA,ZA
9105.16,Szkoła Podstawowa Nr 2,10,01,324,0,,368245067,JB,1,,0,3472.00,1300,,3472.00,854,,85416,02,,3472.00
,Szkoła Podstawowa Nr 1,10,01,302,0,,000903334,JB,1,,0,23141.00,1300,,20554.76,801,,80101,02,,20554.76
33696.77,Szkoła Podstawowa Nr 1,10,01,401,0,,000903334,JB,1,,0,1139083.00,1400,,1099398.93,801,,80101,02,,1133095.70
82690.46,Szkoła Podstawowa Nr 1,10,01,404,0,,000903334,JB,1,,0,68080.00,1400,,68070.80,801,,80101,02,,68070.80
135838.20,Szkoła Podstawowa Nr 1,10,01,411,0,,000903334,JB,1,,0,1009136.00,1400,,902268.62,801,,80101,02,,967690.16
13018.51,Szkoła Podstawowa Nr 1,10,01,412,0,,000903334,JB,1,,0,109345.00,1400,,80564.57,801,,80101,02,,87811.56
13018.51,Szkoła Podstawowa Nr 1,10,01,417,0,,000903334,JB,1,,0,2000.00,1400,,80564.57,801,,80101,02,,87811.56
13018.51,Szkoła Podstawowa Nr 1,10,01,421,0,,000903334,JB,1,,0,134000.00,1100,,133848.99,801,,80101,02,,133848.99
13018.51,Szkoła Podstawowa Nr 1,10,01,424,0,,000903334,JB,1,,0,51833.00,1100,,51767.80,801,,80101,02,,51767.80
65297.45,Szkoła Podstawowa Nr 1,10,01,426,0,,000903334,JB,1,,0,605462.00,1100,,507128.26,801,,80101,02,,572425.71
307.50,Szkoła Podstawowa Nr 1,10,01,427,0,,000903334,JB,1,,0,75088.00,1100,,74584.86,801,,80101,02,,74892.36
307.50,Szkoła Podstawowa Nr 1,10,01,428,0,,000903334,JB,1,,0,3932.00,1100,,3430.00,801,,80101,02,,3430.00
4179.65,Szkoła Podstawowa Nr 1,10,01,430,0,,000903334,JB,1,,0,112805.00,1100,,100943.28,801,,80101,02,,105122.93
4179.65,Szkoła Podstawowa Nr 1,10,01,436,0,,000903334,JB,1,,0,5876.00,1100,,5527.44,801,,80101,02,,5527.44
4179.65,Szkoła Podstawowa Nr 1,10,01,439,0,,000903334,JB,1,,0,1316.00,1100,,271.79,801,,80101,02,,271.79
4179.65,Szkoła Podstawowa Nr 1,10,01,441,0,,000903334,JB,1,,0,1536.00,1100,,394.46,801,,80101,02,,394.46
4179.65,Szkoła Podstawowa Nr 1,10,01,444,0,,000903334,JB,1,,0,348861.00,1100,,348860.51,801,,80101,02,,348860.51
4179.65,Szkoła Podstawowa Nr 1,10,01,448,0,,000903334,JB,1,,0,828.00,1100,,801.00,801,,80101,02,,801.00
4179.65,Szkoła Podstawowa Nr 1,10,01,453,0,,000903334,JB,1,,0,514.00,1100,,801.00,801,,80101,02,,801.00
4179.65,Szkoła Podstawowa Nr 1,10,01,470,0,,000903334,JB,1,,0,3914.00,1100,,2049.00,801,,80101,02,,2049.00
684.45,Szkoła Podstawowa Nr 1,10,01,471,0,,000903334,JB,1,,0,10000.00,1400,,8606.62,801,,80101,02,,8606.62
98903.92,Szkoła Podstawowa Nr 1,10,01,479,0,,000903334,JB,1,,0,4451916.00,1400,,4182664.81,801,,80101,02,,4281568.73
326946.76,Szkoła Podstawowa Nr 1,10,01,480,0,,000903334,JB,1,,0,295620.00,1400,,295618.46,801,,80101,02,,295618.46
326946.76,Szkoła Podstawowa Nr 1,10,01,605,0,,000903334,JB,1,,0,20000.00,1600,,20000.00,801,,80101,02,,20000.00
326946.76,Szkoła Podstawowa Nr 1,10,01,606,0,,000903334,JB,1,,0,255300.00,1600,,255300.00,801,,80101,02,,255300.00
326946.76,Szkoła Podstawowa Nr 1,10,01,302,0,,000903334,JB,1,,0,644.00,1300,,270.00,801,,80107,02,,270.00
6199.93,Szkoła Podstawowa Nr 1,10,01,411,0,,000903334,JB,1,,0,54594.00,1400,,48698.81,801,,80107,02,,51807.72
530.72,Szkoła Podstawowa Nr 1,10,01,412,0,,000903334,JB,1,,0,4453.00,1400,,3434.50,801,,80107,02,,3695.08
530.72,Szkoła Podstawowa Nr 1,10,01,428,0,,000903334,JB,1,,0,229.00,1100,,50.00,801,,80107,02,,50.00
530.72,Szkoła Podstawowa Nr 1,10,01,444,0,,000903334,JB,1,,0,15074.00,1100,,15073.78,801,,80107,02,,15073.78
530.72,Szkoła Podstawowa Nr 1,10,01,471,0,,000903334,JB,1,,0,200.00,1400,,0.37,801,,80107,02,,0.37
4825.97,Szkoła Podstawowa Nr 1,10,01,479,0,,000903334,JB,1,,0,285310.00,1400,,267084.74,801,,80107,02,,271910.71
17981.56,Szkoła Podstawowa Nr 1,10,01,480,0,,000903334,JB,1,,0,19400.00,1400,,19309.61,801,,80107,02,,19309.61
17981.56,Szkoła Podstawowa Nr 1,10,01,430,0,,000903334,JB,1,,0,14331.00,1100,,2600.00,801,,80146,02,,2600.00
17981.56,Szkoła Podstawowa Nr 1,10,01,470,0,,000903334,JB,1,,0,23886.00,1100,,23882.97,801,,80146,02,,23882.97
17981.56,Szkoła Podstawowa Nr 1,10,01,302,0,,000903334,JB,1,,0,1889.00,1300,,1163.17,801,,80148,02,,1163.17
9095.01,Szkoła Podstawowa Nr 1,10,01,401,0,,000903334,JB,1,,0,315726.00,1400,,305076.08,801,,80148,02,,314171.09
23200.67,Szkoła Podstawowa Nr 1,10,01,404,0,,000903334,JB,1,,0,21170.00,1400,,21162.98,801,,80148,02,,21162.98
10154.65,Szkoła Podstawowa Nr 1,10,01,411,0,,000903334,JB,1,,0,57540.00,1400,,51318.01,801,,80148,02,,57484.46
1071.46,Szkoła Podstawowa Nr 1,10,01,412,0,,000903334,JB,1,,0,7343.00,1400,,5768.79,801,,80148,02,,6406.83
1071.46,Szkoła Podstawowa Nr 1,10,01,421,0,,000903334,JB,1,,0,14255.00,1100,,14249.75,801,,80148,02,,14249.75
1071.46,Szkoła Podstawowa Nr 1,10,01,422,0,,000903334,JB,1,,0,474000.00,1100,,432621.93,801,,80148,02,,432621.93
